name,cuisines,rating,price_for_two,address,query,latitude,longitude
Pints Of Wisdom,"North Indian, Bar Food, Chinese, Biryani, Fast Food",New,"₹1,000 for two","Bandra Kurla Complex, Mumbai","Pints Of Wisdom Bandra Kurla Complex, Mumbai",19.06346,72.85822
Dobaraa,"North Indian, Continental, Salad, Desserts",4.6,"₹1,200 for two","Phoenix Palladium, Lower Parel, Mumbai","Dobaraa Phoenix Palladium, Lower Parel, Mumbai",18.9949,72.82454
Legume,"Street Food, North Indian, Italian",4.2,"₹1,000 for two","Phoenix Palladium, Lower Parel, Mumbai","Legume Phoenix Palladium, Lower Parel, Mumbai",18.9949,72.82454
Mitron,"North Indian, European, Continental, Asian, Sushi, Chinese, Desserts, Beverages",4.2,"₹2,000 for two","Linking Road, Bandra West, Mumbai","Mitron Linking Road, Bandra West, Mumbai",19.05454,72.83754
Chala Basuya Bar & Kitchen,"North Indian, Mughlai, Kebab, Chinese, Seafood, Biryani, Thai, Sichuan",4.1,"₹1,200 for two","Dadar West, Mumbai","Chala Basuya Bar & Kitchen Dadar West, Mumbai",19.03179,72.84051
Cha,"Asian, Chinese",4.5,"₹1,500 for two","Palladium Mall, Lower Parel, Mumbai","Cha Palladium Mall, Lower Parel, Mumbai",18.99477,72.8246
Julius,"European, Continental, Mediterranean",4.6,"₹2,000 for two","Phoenix Palladium, Lower Parel, Mumbai","Julius Phoenix Palladium, Lower Parel, Mumbai",18.9949,72.82454
Brasserie 1935 Kitchen & Bar,"North Indian, Chinese, Asian, Continental, Mexican, Seafood, Brasserie",4.1,"₹1,800 for two","Sion, Mumbai","Brasserie 1935 Kitchen & Bar Sion, Mumbai",19.04045,72.86505
POMPA,Mexican,New,"₹2,500 for two","Linking Road, Bandra West, Mumbai","POMPA Linking Road, Bandra West, Mumbai",19.05454,72.83754
Epitome,"Italian, North Indian, Asian, Arabian, Sushi, Desserts, Beverages",4.1,"₹2,500 for two","Lower Parel, Mumbai","Epitome Lower Parel, Mumbai",18.99611,72.82786
Pop Tate's,"Italian, Fast Food, Pizza, Chinese, Continental, Asian, Seafood, Beverages",4.4,"₹1,300 for two","Bandra Kurla Complex, Mumbai","Pop Tate's Bandra Kurla Complex, Mumbai",19.07245,72.87021
The Nines,"Continental, Asian, North Indian, Pizza, Italian, Desserts, Sushi",4.3,"₹2,000 for two","Juhu, Mumbai","The Nines Juhu, Mumbai",19.11066,72.82516
